Round,run-2_evaluation/adv_success,run-2_l2_total/mal,run-2_evaluation/test_accuracy,run-0_evaluation/adv_success,run-0_l2_total/mal,run-0_evaluation/test_accuracy,run-1_evaluation/adv_success,run-1_l2_total/mal,run-1_evaluation/test_accuracy
228,0.04477611929178238,0.7999998927116394,0.480654776096344,0.03980099409818649,0.800000011920929,0.4826388955116272,0.04477611929178238,0.8000001311302185,0.4801587164402008
229,0.014925372786819935,0.7999998927116394,0.4871031641960144,0.02985074557363987,0.7999998927116394,0.483134925365448,0.024875622242689133,0.8000000715255737,0.4841269850730896
230,0.019900497049093246,0.7999998927116394,0.4786706268787384,0.06965173780918121,0.800000011920929,0.47966268658638,0.019900497049093246,0.8000000715255737,0.4821428656578064
231,0.004975124262273312,0.800000011920929,0.4841269850730896,0.004975124262273312,0.800000011920929,0.47966268658638,0.004975124262273312,0.7999999523162842,0.4821428656578064
232,0.014925372786819935,0.7999996542930603,0.480654776096344,0.03482586890459061,0.7999999523162842,0.483134925365448,0.019900497049093246,0.8000001311302185,0.4826388955116272
233,0.009950248524546623,0.7999999523162842,0.4826388955116272,0.03482586890459061,0.7999999523162842,0.485615074634552,0.014925372786819935,0.8000001311302185,0.4821428656578064
234,0.03980099409818649,0.7999999523162842,0.4826388955116272,0.049751244485378265,0.7999999523162842,0.4841269850730896,0.04477611929178238,0.8000001311302185,0.4826388955116272
235,0.03980099409818649,0.8000001311302185,0.4846230149269104,0.014925372786819935,0.800000011920929,0.4866071343421936,0.03980099409818649,0.7999998927116394,0.4846230149269104
236,0.02985074557363987,0.800000011920929,0.488095223903656,0.09452736377716064,0.800000011920929,0.4816468358039856,0.03482586890459061,0.7999999523162842,0.4861111044883728
237,0.024875622242689133,0.7999997735023499,0.4905754029750824,0.05970149114727974,0.800000011920929,0.4841269850730896,0.02985074557363987,0.7999999523162842,0.4866071343421936
238,0.004975124262273312,0.7999997138977051,0.488095223903656,0.0746268630027771,0.800000011920929,0.488095223903656,0.004975124262273312,0.800000011920929,0.4871031641960144
239,0.014925372786819935,0.7999998927116394,0.48908731341362,0.014925372786819935,0.800000011920929,0.4836309552192688,0.02985074557363987,0.7999999523162842,0.4900793731212616
240,0.04477611929178238,0.7999998331069946,0.48908731341362,0.014925372786819935,0.7999999523162842,0.4836309552192688,0.04477611929178238,0.8000000715255737,0.4885912835597992
241,0.04477611929178238,0.7999998927116394,0.485615074634552,0.009950248524546623,0.7999999523162842,0.4836309552192688,0.04477611929178238,0.8000001311302185,0.4866071343421936
242,0.04477611929178238,0.8000001311302185,0.4935515820980072,0.019900497049093246,0.800000011920929,0.4791666567325592,0.04477611929178238,0.7999999523162842,0.4905754029750824
243,0.05472636967897415,0.7999999523162842,0.4965277910232544,0.05472636967897415,0.7999999523162842,0.485615074634552,0.05970149114727974,0.8000001311302185,0.4955357015132904
244,0.024875622242689133,0.800000011920929,0.4935515820980072,0.07960198819637299,0.7999998927116394,0.4786706268787384,0.02985074557363987,0.800000011920929,0.4900793731212616
245,0.024875622242689133,0.7999998331069946,0.494047611951828,0.03482586890459061,0.800000011920929,0.4910714328289032,0.024875622242689133,0.7999999523162842,0.491567462682724
246,0.03482586890459061,0.8000001311302185,0.4935515820980072,0.024875622242689133,0.800000011920929,0.4861111044883728,0.03980099409818649,0.8000000715255737,0.4925595223903656
247,0.014925372786819935,0.8000001311302185,0.4965277910232544,0.03980099409818649,0.7999999523162842,0.48908731341362,0.024875622242689133,0.800000011920929,0.4985119104385376
248,0.05472636967897415,0.7999998331069946,0.4900793731212616,0.04477611929178238,0.800000011920929,0.488095223903656,0.05970149114727974,0.7999998331069946,0.4925595223903656
249,0.03482586890459061,0.8000001907348633,0.4970238208770752,0.02985074557363987,0.800000011920929,0.4875991940498352,0.03482586890459061,0.800000011920929,0.4960317313671112
