Round,quantization_emnist_baseline_evaluation/test_accuracy,quantization_emnist_p_4_3_evaluation/test_accuracy,quantization_emnist_p_2_1_evaluation/test_accuracy,quantization_emnist_d_8_7_evaluation/test_accuracy,quantization_emnist_p_8_7_evaluation/test_accuracy
64,0.9088093042373657,0.8995552659034729,0.8062330484390259,0.8873876333236694,0.9087594151496887
65,0.9068503379821777,0.8961767554283142,0.7920331954956055,0.8848902583122253,0.9089550375938416
66,0.9115999341011047,0.8994083404541016,0.8220238089561462,0.8897131085395813,0.9092496633529663
67,0.908882737159729,0.8995558023452759,0.8122305870056152,0.8884410858154297,0.9130686521530151
68,0.911820113658905,0.9052605032920837,0.8109819889068604,0.8907173871994019,0.9137541651725769
69,0.9109145402908325,0.906557559967041,0.8202369809150696,0.8910844326019287,0.9153450727462769
70,0.9150276780128479,0.90582275390625,0.8148499131202698,0.8943403959274292,0.9153454303741455
71,0.915198564529419,0.9050385355949402,0.8339701890945435,0.8952951431274414,0.9149534106254578
72,0.9150767922401428,0.9076342582702637,0.8409970998764038,0.89568692445755,0.9162753820419312
73,0.9166195392608643,0.9104498028755188,0.8433953523635864,0.8986983299255371,0.9189192652702332
74,0.9168636798858643,0.9114041924476624,0.8287063837051392,0.8976700305938721,0.9177197217941284
75,0.919800877571106,0.911698579788208,0.8417555689811707,0.9000935554504395,0.9205594062805176
76,0.9220535755157471,0.9124077558517456,0.8258180618286133,0.9010732769966125,0.9181357622146606
77,0.9220784902572632,0.9109635353088379,0.844202995300293,0.9041088223457336,0.9205107688903809
78,0.9232521057128906,0.9157369136810303,0.8546079993247986,0.9050878286361694,0.9223471283912659
79,0.9186253547668457,0.915664553642273,0.8446927070617676,0.8998978734016418,0.9221265316009521
80,0.9256030917167664,0.9161048531532288,0.8366140723228455,0.9064838290214539,0.9227139949798584
81,0.9242566823959351,0.9168883562088013,0.8438360095024109,0.9050881862640381,0.9247224926948547
82,0.9274151921272278,0.9160305261611938,0.828681468963623,0.9088580012321472,0.9240853786468506
83,0.9247223734855652,0.918968915939331,0.8412651419639587,0.906115710735321,0.9254322648048401
84,0.9233999252319336,0.918992817401886,0.8376669883728027,0.9060177803039551,0.9250402450561523
85,0.9282962679862976,0.921367883682251,0.8323786854743958,0.9098618030548096,0.9291524291038513
86,0.928173840045929,0.9175735116004944,0.8443257808685303,0.909886360168457,0.9254079461097717
87,0.9286632537841797,0.9216375350952148,0.8302485346794128,0.9099353551864624,0.9308671355247498
88,0.927782416343689,0.9213683009147644,0.840432345867157,0.9124565720558167,0.9274634718894958
89,0.9280027151107788,0.9225677847862244,0.8354873061180115,0.9104496836662292,0.9312344193458557
90,0.9295448660850525,0.9206830859184265,0.8483898639678955,0.9123585224151611,0.9300842881202698
91,0.9272195100784302,0.9198258519172668,0.8379846811294556,0.9106945395469666,0.9307684898376465
92,0.9304263591766357,0.9211968183517456,0.8364658951759338,0.9134359955787659,0.9300839304924011
93,0.9301326274871826,0.9216861724853516,0.8299546837806702,0.9125299453735352,0.9287373423576355
94,0.9310134053230286,0.9265574216842651,0.84706711769104,0.9140726923942566,0.9337316751480103
95,0.9306466579437256,0.9241584539413452,0.841143012046814,0.9127756953239441,0.9335104823112488
96,0.9297890663146973,0.9269987940788269,0.8401886820793152,0.9165945053100586,0.9345876574516296
97,0.9331434369087219,0.9226411581039429,0.8312522768974304,0.9175244569778442,0.9335601329803467
98,0.9336572885513306,0.9259704351425171,0.8443495035171509,0.9188954830169678,0.9351754188537598
