Round,e3_cifar_resnet18_long_STRIPES_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_STRIPES_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_WALL_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_WALL_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_WALL_lrlow_evaluation/test_accuracy,e3_cifar_resnet18_long_WALL_lrlow_evaluation/adv_success,e3_cifar_resnet18_long_STRIPES_lrlow100_evaluation/test_accuracy,e3_cifar_resnet18_long_STRIPES_lrlow100_evaluation/adv_success,e3_cifar_resnet18_long_GREEN_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_GREEN_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_GREEN_lrlow100_evaluation/test_accuracy,e3_cifar_resnet18_long_GREEN_lrlow100_evaluation/adv_success
52,0.8788813948631287,0.0015625000232830644,0.8822651505470276,0.0,0.8820660710334778,0.510937511920929,0.8765923380851746,0.28593748807907104,0.8862460255622864,0.0,0.8837579488754272,0.0
53,0.8786823153495789,0.0062500000931322575,0.8824641704559326,0.0,0.8827627301216125,0.5463541746139526,0.8765923380851746,0.2838541567325592,0.8853503465652466,0.0,0.8836584687232971,0.0
54,0.8808718323707581,0.0031250000465661287,0.8820660710334778,0.0,0.8824641704559326,0.5463541746139526,0.8764928579330444,0.28125,0.8861464858055115,0.0,0.8843550682067871,0.0
55,0.8810708522796631,0.00937500037252903,0.8801751732826233,0.0,0.8827627301216125,0.5604166388511658,0.8769904375076294,0.2979166805744171,0.8849522471427917,0.0,0.883957028388977,0.0
56,0.8804737329483032,0.01406249962747097,0.8792794346809387,0.0,0.8826631903648376,0.5625,0.8774880766868591,0.2984375059604645,0.8828622698783875,0.0,0.883957028388977,0.0
57,0.8820660710334778,0.010937499813735485,0.8794785141944885,0.0,0.8825637102127075,0.5114583373069763,0.8777866363525391,0.3036458194255829,0.8814689517021179,0.0,0.8836584687232971,0.0
58,0.8822651505470276,0.00937500037252903,0.8775875568389893,0.0,0.8829618096351624,0.5494791865348816,0.8781847357749939,0.29739582538604736,0.8809713125228882,0.0,0.8841560482978821,0.0
59,0.8827627301216125,0.0,0.8774880766868591,0.0,0.8823646306991577,0.5249999761581421,0.8783837556838989,0.2958333194255829,0.8818670511245728,0.0,0.8840565085411072,0.0
60,0.8843550682067871,0.01406249962747097,0.8774880766868591,0.0,0.8828622698783875,0.5166666507720947,0.878284215927124,0.2906250059604645,0.8826631903648376,0.0,0.884255588054657,0.0
61,0.8840565085411072,0.01197916641831398,0.8789808750152588,0.0,0.8830612897872925,0.4963541626930237,0.878582775592804,0.30000001192092896,0.8836584687232971,0.0,0.8846536874771118,0.0
