round,accuracy,adv_success
77,0.9685443639755249,0.4666666666666666
78,0.968544065952301,0.4666666666666667
79,0.968887448310852,0.425
80,0.9685932993888855,0.4916666666666666
81,0.9693277478218079,0.5333333333333334
82,0.9692785143852234,0.55
83,0.9693524837493896,0.4916666666666666
84,0.9697933197021484,0.5083333333333333
85,0.9702829718589783,0.525
86,0.9698910713195801,0.575
87,0.9699398875236511,0.5833333333333334
88,0.9701847434043884,0.525
89,0.9704781174659729,0.5833333333333334
90,0.9706496000289917,0.525
91,0.9704298377037048,0.6249999999999999
92,0.9706007838249207,0.6333333333333333
93,0.9705521464347839,0.6500000000000001
94,0.970870316028595,0.625
95,0.9705762267112732,0.6
96,0.9712616801261902,0.5416666666666667
97,0.970404863357544,0.6083333333333333
98,0.9708950519561768,0.6083333333333333
99,0.9706498980522156,0.6583333333333333
100,0.9712132811546326,0.65
101,0.9716783761978149,0.5833333333333333
102,0.9717763066291809,0.5416666666666666
103,0.9710664749145508,0.6416666666666667
104,0.9722904562950134,0.65
105,0.9720943570137024,0.7
106,0.9719235897064209,0.7083333333333334
107,0.9717759490013123,0.675
108,0.9717027544975281,0.725
109,0.972021222114563,0.7083333333333334
110,0.9721680879592896,0.7333333333333333
111,0.9726089239120483,0.7000000000000001
112,0.9723150730133057,0.6833333333333333
113,0.97297602891922,0.675
114,0.9727800488471985,0.6666666666666666
115,0.9722417593002319,0.6666666666666666
116,0.9730495810508728,0.6666666666666666
117,0.9722657203674316,0.7
118,0.9735386967658997,0.6833333333333333
119,0.9737105369567871,0.725
120,0.9738821983337402,0.7083333333333334
121,0.9738327264785767,0.6833333333333333
122,0.9738816022872925,0.6416666666666666
123,0.973244845867157,0.6833333333333333
124,0.9738817811012268,0.7083333333333334
125,0.9730249643325806,0.6916666666666667
126,0.9737592339515686,0.7000000000000001
127,0.9734413623809814,0.6833333333333333
128,0.9736610651016235,0.6916666666666667
129,0.9740287661552429,0.6916666666666667
130,0.9739307165145874,0.7083333333333334
131,0.974077582359314,0.6916666666666667
132,0.974469006061554,0.6916666666666667
133,0.9746648073196411,0.7
134,0.9748117923736572,0.7083333333333334
135,0.9747629761695862,0.625
136,0.9748116731643677,0.6166666666666666
137,0.9753502607345581,0.7083333333333334
138,0.9751787781715393,0.725
139,0.9752029180526733,0.6416666666666667
140,0.9748849868774414,0.6916666666666667
141,0.97527676820755,0.7
142,0.9753260016441345,0.7
143,0.9756929278373718,0.675
144,0.9758155941963196,0.6583333333333333
145,0.9758402109146118,0.7166666666666667
146,0.9755950570106506,0.6333333333333334
147,0.9752768278121948,0.6083333333333333
148,0.9757909774780273,0.7000000000000001
149,0.9757422208786011,0.7166666666666666
150,0.9759873151779175,0.7166666666666667
151,0.9762075543403625,0.7166666666666667
152,0.9762563109397888,0.6916666666666667
153,0.9764273166656494,0.7
154,0.9757908582687378,0.6833333333333333
155,0.9761333465576172,0.725
156,0.9760110378265381,0.7416666666666666
157,0.9757663607597351,0.7333333333333333
158,0.9763293862342834,0.7083333333333334
159,0.9761824607849121,0.7000000000000001
160,0.976011335849762,0.7083333333333333
161,0.9766966700553894,0.7000000000000001
162,0.9760110974311829,0.7333333333333333
