Round,e44_cifar_attack_memorize_450_0.0008_random_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_random_evaluation/adv_success,e44_cifar_attack_400_0.0001_full_greencars_evaluation/test_accuracy,e44_cifar_attack_400_0.0001_full_greencars_evaluation/adv_success,e44_cifar_attack_memorize_450_0.0008_random_long_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_random_long_evaluation/adv_success,e44_cifar_attack_memorize_450_0.0008_long_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_long_evaluation/adv_success,e44_cifar_attack_400_0.0001_full_evaluation/test_accuracy,e44_cifar_attack_400_0.0001_full_evaluation/adv_success
37,,,0.8911290168762207,0.7960199117660522,0.6678427457809448,0.953125,0.8205645084381104,1.0,0.8855846524238586,0.8805969953536987
38,,,0.8911290168762207,0.8059701323509216,0.6683467626571655,0.953125,0.8205645084381104,1.0,0.8850806355476379,0.8557214140892029
39,,,0.8911290168762207,0.8308457732200623,0.6683467626571655,0.953125,0.8205645084381104,1.0,0.8860887289047241,0.8706467747688293
40,,,0.8916330933570862,0.8059701323509216,0.6693548560142517,0.953125,0.8200604915618896,1.0,0.8860887289047241,0.8706467747688293
41,,,0.8911290168762207,0.7761194109916687,0.6698588728904724,0.953125,0.8205645084381104,1.0,0.8855846524238586,0.8507462739944458
42,,,0.8911290168762207,0.8109452724456787,0.6698588728904724,0.953125,0.8205645084381104,1.0,0.8865927457809448,0.8557214140892029
43,,,0.890625,0.8258706331253052,0.6708669066429138,0.953125,0.8205645084381104,1.0,0.8865927457809448,0.8805969953536987
44,,,0.8911290168762207,0.8059701323509216,0.6708669066429138,0.953125,0.8205645084381104,1.0,0.8865927457809448,0.8606964945793152
45,,,0.8916330933570862,0.8009950518608093,0.6708669066429138,0.953125,0.8200604915618896,1.0,0.8865927457809448,0.8656716346740723
46,,,0.8916330933570862,0.7860696315765381,0.671875,0.953125,0.8200604915618896,1.0,0.8865927457809448,0.8407959938049316
47,,,0.8901209831237793,0.8159204125404358,0.6733871102333069,0.953125,0.819556474685669,1.0,0.8860887289047241,0.8606964945793152
48,,,0.8901209831237793,0.8805969953536987,0.6733871102333069,0.953125,0.8205645084381104,1.0,0.8855846524238586,0.8606964945793152
49,,,0.8901209831237793,0.8159204125404358,0.6738911271095276,0.953125,0.821068525314331,1.0,0.8860887289047241,0.7761194109916687
50,,,0.890625,0.8407959938049316,0.6738911271095276,0.953125,0.8205645084381104,1.0,0.8850806355476379,0.8258706331253052
51,,,0.8901209831237793,0.8159204125404358,0.6738911271095276,0.953125,0.8190523982048035,1.0,0.8850806355476379,0.8407959938049316
52,,,0.8901209831237793,0.8109452724456787,0.6759072542190552,0.953125,0.819556474685669,1.0,0.8850806355476379,0.8656716346740723
53,,,0.8911290168762207,0.8009950518608093,0.6764112710952759,0.953125,0.819556474685669,1.0,0.8860887289047241,0.8109452724456787
54,,,0.890625,0.8258706331253052,0.6774193644523621,0.953125,0.819556474685669,1.0,0.8860887289047241,0.8656716346740723
55,,,0.890625,0.7761194109916687,0.6779233813285828,0.953125,0.819556474685669,1.0,0.8855846524238586,0.8358209133148193
56,,,0.890625,0.8208954930305481,0.678931474685669,0.953125,0.8200604915618896,1.0,0.8855846524238586,0.8855721354484558
57,,,0.890625,0.8457711338996887,0.678931474685669,0.953125,0.8200604915618896,1.0,0.8860887289047241,0.8308457732200623
58,,,0.8901209831237793,0.8208954930305481,0.678931474685669,0.953125,0.8200604915618896,1.0,0.8860887289047241,0.8706467747688293
59,,,0.8896169066429138,0.7761194109916687,0.680443525314331,0.953125,0.8205645084381104,1.0,0.8865927457809448,0.8208954930305481
60,,,0.8901209831237793,0.89552241563797,0.680443525314331,0.953125,0.821068525314331,1.0,0.8865927457809448,0.8159204125404358
61,,,0.8896169066429138,0.8109452724456787,0.6809476017951965,0.953125,0.8215726017951965,1.0,0.8870967626571655,0.8208954930305481
