Round,quantization_det_higher_loss_evaluation/test_accuracy,quantization_lenet5_prob_4_3_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_evaluation/test_accuracy,quantization_lenet5_baseline_evaluation/test_accuracy,quantization_baseline_evaluation/test_accuracy,quantization_det_higher_loss_lessfrac_2bits_evaluation/test_accuracy,quantization_deterministic_evaluation/test_accuracy,quantization_lenet5_8_7_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_2bits_evaluation/test_accuracy,quantization_prob_evaluation/test_accuracy,quantization_prob_higher_loss_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_32_evaluation/test_accuracy,quantization_lenet5_det_8_7_evaluation/test_accuracy,quantization_4_evaluation/test_accuracy
29,0.20936274528503418,0.2837701737880707,0.8800489902496338,0.30241936445236206,0.8980637192726135,,0.8584313988685608,0.30241936445236206,0.8308333158493042,0.8988234996795654,0.8977450728416443,,0.15625,0.8944362998008728
30,0.20936274528503418,0.2852822542190552,0.8755882382392883,0.3089717626571655,0.9000490307807922,,0.8600000143051147,0.30493950843811035,0.8155146837234497,0.8999754786491394,0.8987009525299072,,0.15625,0.8887500166893005
31,0.20936274528503418,0.28830644488334656,0.8546813726425171,0.3094758093357086,0.9017156958580017,,,0.30443549156188965,0.8509313464164734,0.901691198348999,0.899926483631134,,0.15625,0.8957353234291077
32,0.20936274528503418,0.2928427457809448,0.8890196084976196,0.3130040466785431,0.9038235545158386,,,0.3084677457809448,0.8341912031173706,0.9037989974021912,0.9026960730552673,,0.15625,0.900269627571106
33,0.20936274528503418,0.2963709533214569,0.8770833611488342,0.3130040466785431,0.9051960706710815,,,0.3135080635547638,0.8021078705787659,0.9050490260124207,0.902647078037262,,0.15625,0.8962990045547485
34,0.20936274528503418,0.2928427457809448,0.8871323466300964,0.3150201737880707,0.9068137407302856,,,0.3140121102333069,0.8282352685928345,0.9069852828979492,0.9052451252937317,,0.15625,0.9029656648635864
35,0.20936274528503418,0.2993951737880707,0.8930147290229797,0.31754031777381897,,,,0.3145161271095276,0.8436029553413391,,,,0.15625,0.905024528503418
36,0.20936274528503418,0.3099798262119293,0.8918627500534058,0.32157257199287415,,,,0.32106855511665344,0.8650735020637512,,,,0.15625,0.9043872356414795
37,0.20936274528503418,0.3140121102333069,0.896127462387085,0.3251008093357086,,,,0.3256048262119293,0.8142892122268677,,,,0.15625,0.9087989926338196
38,0.20936274528503418,0.30342742800712585,0.8926715850830078,0.3271169364452362,,,,0.3251008093357086,0.7718137502670288,,,,0.15625,0.9058333039283752
39,0.20936274528503418,0.30594757199287415,0.8972058892250061,0.3271169364452362,,,,0.3321572542190552,0.822965681552887,,,,0.15625,0.9136029481887817
40,0.20936274528503418,0.31955644488334656,0.8937009572982788,0.3286290466785431,,,,0.3291330635547638,0.8275980353355408,,,,0.15625,0.9134559035301208
41,0.20936274528503418,0.3114919364452362,,0.33266130089759827,,,,0.33266130089759827,0.8015686273574829,,,,0.15625,0.9120588302612305
42,0.20936274528503418,0.3104838728904724,,0.33316531777381897,,,,0.33669355511665344,0.8348774313926697,,,,0.15625,0.9111519455909729
43,0.20936274528503418,0.3130040466785431,,0.33770161867141724,,,,0.3407258093357086,0.849460780620575,,,,0.15625,0.9122794270515442
44,,0.3155241906642914,,0.33719757199287415,,,,0.33719757199287415,0.8330392241477966,,,,0.15625,0.9166666865348816
45,,0.32207661867141724,,0.33921369910240173,,,,0.3397177457809448,0.8571078181266785,,,,0.15625,0.9180637001991272
46,,0.32106855511665344,,0.3417338728904724,,,,0.3427419364452362,0.8477696180343628,,,,0.15625,0.9160539507865906
