Round,femnist_norm_inspect_l2_total/benign,femnist_norm_inspect_l2_total/mal,femnist_norm_inspect_l1_total/benign,femnist_norm_inspect_l1_total/mal,femnist_norm_inspect_data_poison_l2_total/mal,femnist_norm_inspect_data_poison_l1_total/mal,femnist_norm_inspect_scaled_l2_total/mal,femnist_norm_inspect_scaled_l1_total/mal
265,1.689451337,10.2455349,1723.011719,13732.54395,6.331532955,8447.640625,312.1659851,421205.125
266,1.812576652,10.85664749,2029.264526,15211.57324,5.427151203,7592.766113,343.3471375,501974.625
267,1.76936996,10.88478279,1989.921509,15559.71289,6.92269659,10113.86035,327.7314758,478158.625
268,2.285888195,10.42650509,2564.541016,14197.30469,6.314237118,8547.075195,315.4698486,431442.6563
269,1.877917051,9.913209915,1993.452637,12993.01563,6.0108428,7758.568359,299.1333313,396021.5
270,1.987561941,11.16709518,2194.380371,15880.4668,6.614768028,9316.709961,325.3378906,454526
271,2.132573128,10.96756649,2363.474365,15298.43066,6.130094051,8244.46875,314.7592163,424276.4063
272,1.358324289,9.785784721,1275.572998,12591.46191,4.879361629,6160.82666,294.7476807,380434.0313
273,1.680070162,9.926496506,1725.119019,12989.5127,6.024199486,7766.028809,298.6146545,390870.0313
274,1.963921905,9.768452644,2000.164307,12432.56055,5.692024708,7005.893066,293.9032288,378389.2813
275,1.943746924,9.779582977,2022.153198,12727.43652,5.90502882,7490.924805,298.056427,390065.9688
276,1.975888133,9.971621513,2156.500488,13135.71582,4.94690752,6309.028809,300.6157837,397139.9063
277,1.764660716,10.14589024,1779.721191,13547.08594,6.149707794,8085.041016,305.8322754,410972.1875
278,1.564021707,10.0356884,1609.338867,13333.56543,6.131132603,8111.515625,305.8627319,410651.6563
279,1.914318919,10.2225275,2174.238525,13729.29395,6.227054596,8299.954102,306.2579956,414442.2813
280,1.907950044,10.76831722,2117.293457,15025.33105,6.419634342,8805.525391,319.8389282,442465.8438
281,2.45755744,10.54673004,2797.994873,14761.55273,6.593261242,9311.087891,316.7065125,444034.9688
282,1.686619997,9.948996544,1660.542725,13127.30469,6.080802917,7935.380859,294.9191895,388172.1875
283,1.795488477,9.751267433,1780.026978,12678.74609,4.855137825,6119.439941,293.11203,381653.0625
284,1.558839321,10.07632542,1529.479736,13551.93945,6.117926121,8084.897461,300.8439026,404597.9375
285,1.575017333,10.00987339,1544.456299,13387.75293,6.158750534,8243.853516,298.8156128,401361.5
286,2.414763927,10.65076828,2805.096191,14745.46387,6.38032341,8708.708984,316.7950134,436341.1563
287,2.212766171,9.875986099,2439.076172,12870.42188,5.256891251,7044.95752,295.7234497,384626.9375
288,1.83562088,9.831830025,1938.943115,12621.6709,5.053050995,6590.261719,300.6825562,391515.7188
289,1.801321626,10.13083839,1971.977051,13280.94922,6.375117779,8619.835938,305.5513,406355.75
290,1.907853127,10.39356899,2133.095459,13988.01855,5.320314884,7220.615234,324.9058533,449258.7188
291,2.288961649,10.05261803,2462.945557,13217.31445,6.041122437,7838.641602,299.5834351,391555.3125
292,1.600823283,10.29248905,1620.290771,13781.40234,6.377451897,8673.698242,308.5435181,411397.625
293,1.879531622,11.19255829,2155.64209,15968.47461,6.749965191,9571.607422,330.2530518,464990.3125
294,1.829041719,10.53777504,1864.079224,14298.90137,5.230115414,7009.038574,322.5030823,447037.625
295,2.115080833,10.02799034,2295.549805,13156.87695,6.032953262,7790.978516,300.4325867,395759.8125
296,2.14839673,10.83091068,2413.375488,15287.54297,6.800468922,9762.540039,331.5791626,488215.5
297,1.812380791,10.60514641,1849.35498,14584.41309,6.517061234,9003.820313,323.9279785,462106.3125
298,1.957971096,10.14311695,2096.744141,13460.61914,6.123230934,7985.239746,304.6730347,403953.8125
299,1.893930793,10.35155487,2057.989502,13977.80762,6.384550095,8667.220703,322.2496338,443852.5313
300,1.572581172,10.04744244,1571.745117,13222.07617,5.129483223,6757.427734,303.2124023,402597.9688
301,1.237980962,10.17949486,1115.900024,13617.08789,5.262897491,7060.441406,303.0113525,404585.875
302,1.992530346,10.18303776,2115.858887,13648.47754,6.230077744,8306.470703,304.7224121,403458.4063
303,1.929332376,10.03596115,2101.516113,13254.90234,4.975855827,6408.860352,302.2973022,398594.25
