Round,Benign objective (clipped),Adversarial objective (clipped),Benign objective,Adversarial objective
64,0.797379017,0,0.773185492,0.416666657
65,0.794354856,0,0.773689508,0.416666657
66,0.795866907,0,0.776713729,0.416666657
67,0.796875,0,0.776713729,0.416666657
68,0.796875,0,0.778729856,0.416666657
69,0.797379017,0,0.77822578,0.416666657
70,0.799395144,0,0.778729856,0.416666657
71,0.79838711,0,0.778729856,0.416666657
72,0.797379017,0,0.776713729,0.416666657
73,0.796370983,0,0.776713729,0.333333343
74,0.797379017,0,0.775201619,0.333333343
75,0.797883093,0,0.77822578,0.333333343
76,0.795866907,0,0.776209652,0.333333343
77,0.796370983,0,0.776713729,0.333333343
78,0.797379017,0,0.780745983,0.333333343
79,0.799395144,0,0.781754017,0.25
80,0.796370983,0,0.781754017,0.25
81,0.796875,0,0.780241907,0.25
82,0.797379017,0,0.782258093,0.25
83,0.795866907,0,0.78125,0.25
84,0.79838711,0,0.780745983,0.25
85,0.796875,0,0.782258093,0.25
86,0.795866907,0,0.783770144,0.25
87,0.798891127,0,0.780241907,0.25
88,0.797883093,0,0.780745983,0.25
89,0.800403237,0,0.77822578,0.25
90,0.796875,0,0.78125,0.25
91,0.79838711,0,0.780745983,0.25
92,0.79989922,0,0.782258093,0.25
93,0.79838711,0,0.780241907,0.25
94,0.797883093,0,0.78125,0.25
95,0.798891127,0,0.78276211,0.25
96,0.797883093,0,0.780241907,0.25
97,0.798891127,0,0.78276211,0.25
98,0.797883093,0,0.780745983,0.25
99,0.797379017,0,0.784778237,0.25
100,0.796875,0,0.78427422,0.25
101,0.796875,0,0.784778237,0.25
102,0.796370983,0,0.78276211,0.25
103,0.797883093,0,0.780241907,0.25
104,0.799395144,0,0.782258093,0.25
105,0.79989922,0,0.781754017,0.25
106,0.796370983,0,0.782258093,0.25
107,0.797379017,0,0.78427422,0.166666672
108,0.796370983,0,0.78427422,0.166666672
109,0.79385078,0,0.783266127,0.25
110,0.794354856,0,0.78125,0.25
111,0.795866907,0,0.780745983,0.166666672
112,0.794354856,0,0.785282254,0.166666672
113,0.79536289,0,0.78427422,0.166666672
114,0.797379017,0,0.78427422,0.166666672
115,0.79838711,0,0.784778237,0.166666672
116,0.798891127,0,0.783770144,0.166666672
117,0.79989922,0,0.784778237,0.166666672
118,0.797883093,0,0.78427422,0.166666672
119,0.795866907,0,0.78427422,0.166666672
120,0.796875,0,0.783266127,0.166666672
121,0.794858873,0,0.784778237,0.166666672
122,0.797379017,0,0.785786271,0.166666672
123,0.795866907,0,0.784778237,0.166666672
124,0.799395144,0,0.785282254,0.166666672
125,0.797883093,0,0.783770144,0.166666672
126,0.800403237,0,0.783770144,0.166666672
127,0.800907254,0,0.78276211,0.166666672
128,0.79989922,0,0.78427422,0.166666672
129,0.797883093,0,0.784778237,0.166666672
130,0.798891127,0,0.782258093,0.166666672
131,0.798891127,0,0.784778237,0.166666672
132,0.797379017,0,0.78427422,0.166666672
133,0.798891127,0,0.785786271,0.166666672
134,0.79838711,0,0.786290348,0.166666672
135,0.795866907,0,0.786290348,0.166666672
136,0.797883093,0,0.785282254,0.166666672
137,0.79838711,0,0.784778237,0.166666672
138,0.79838711,0,0.783770144,0.166666672
139,0.800403237,0,0.784778237,0.166666672
140,0.800403237,0,0.78276211,0.166666672
141,0.800907254,0,0.787298381,0.166666672
142,0.801915348,0,0.786794364,0.166666672
143,0.802923381,0,0.787298381,0.166666672
144,0.802923381,0,0.785786271,0.166666672
145,0.802419364,0,0.787298381,0.166666672
146,0.801411271,0,0.786290348,0.166666672
147,0.800403237,0,0.789314508,0.166666672
148,0.803931475,0,0.789314508,0.166666672
149,0.804435492,0,0.789818525,0.166666672
150,0.804435492,0,0.786794364,0.166666672
151,0.805443525,0,0.786794364,0.166666672
152,0.803427398,0,0.787802398,0.166666672
153,0.802923381,0,0.787802398,0.166666672
154,0.79989922,0,0.787298381,0.166666672
155,0.799395144,0,0.787802398,0.166666672
156,0.800907254,0,0.789314508,0.166666672
157,0.800403237,0,0.789818525,0.166666672
158,0.800403237,0,0.787298381,0.166666672
159,0.800403237,0,0.787298381,0.166666672
160,0.800907254,0,0.788306475,0.166666672
