Round,run-3_evaluation/test_accuracy,run-3_evaluation/adv_success,run-2_evaluation/test_accuracy,run-2_evaluation/adv_success,run-0_evaluation/test_accuracy,run-0_evaluation/adv_success,run-1_evaluation/test_accuracy,run-1_evaluation/adv_success
14,0.6096230149269104,0.004975124262273312,0.6021825671195984,0.004975124262273312,0.5882936716079712,0.0,0.5982142686843872,0.004975124262273312
15,0.6051587462425232,0.0,0.6051587462425232,0.004975124262273312,0.5858134627342224,0.004975124262273312,0.5877976417541504,0.0
16,0.6046627163887024,0.0,0.5947420597076416,0.009950248524546623,0.6116071343421936,0.0,0.5897817611694336,0.004975124262273312
17,0.60317462682724,0.0,0.5967261791229248,0.004975124262273312,0.5992063283920288,0.004975124262273312,0.5947420597076416,0.0
18,0.6036706566810608,0.0,0.6016865372657776,0.004975124262273312,0.6046627163887024,0.019900497049093246,0.5882936716079712,0.0
19,0.605654776096344,0.0,0.6076388955116272,0.004975124262273312,0.5932539701461792,0.004975124262273312,0.5932539701461792,0.004975124262273312
20,0.6051587462425232,0.014925372786819935,0.6046627163887024,0.004975124262273312,0.5907738208770752,0.024875622242689133,0.5927579402923584,0.024875622242689133
21,0.60317462682724,0.004975124262273312,0.6101190447807312,0.019900497049093246,0.5952380895614624,0.009950248524546623,0.6021825671195984,0.014925372786819935
22,0.605654776096344,0.004975124262273312,0.6091269850730896,0.009950248524546623,0.6021825671195984,0.0,0.6071428656578064,0.004975124262273312
23,0.6051587462425232,0.004975124262273312,0.6051587462425232,0.024875622242689133,0.5942460298538208,0.014925372786819935,0.6071428656578064,0.014925372786819935
24,0.601190447807312,0.004975124262273312,0.605654776096344,0.009950248524546623,0.5892857313156128,0.024875622242689133,0.6006944179534912,0.014925372786819935
25,0.6041666865348816,0.004975124262273312,0.6001983880996704,0.004975124262273312,0.5877976417541504,0.019900497049093246,0.5972222089767456,0.0
26,0.6046627163887024,0.009950248524546623,0.598710298538208,0.004975124262273312,0.5897817611694336,0.009950248524546623,0.6061508059501648,0.004975124262273312
27,0.6006944179534912,0.019900497049093246,0.6006944179534912,0.009950248524546623,0.5997023582458496,0.004975124262273312,0.5947420597076416,0.0
28,0.6006944179534912,0.009950248524546623,0.596230149269104,0.009950248524546623,0.6021825671195984,0.004975124262273312,0.5982142686843872,0.0
29,0.6026785969734192,0.004975124262273312,0.596230149269104,0.004975124262273312,0.5982142686843872,0.019900497049093246,0.6001983880996704,0.004975124262273312
30,0.601190447807312,0.019900497049093246,0.6006944179534912,0.014925372786819935,0.6036706566810608,0.02985074557363987,0.5997023582458496,0.004975124262273312
31,0.598710298538208,0.009950248524546623,0.6046627163887024,0.009950248524546623,0.5848214030265808,0.019900497049093246,0.6016865372657776,0.014925372786819935
32,0.5997023582458496,0.0,0.6101190447807312,0.004975124262273312,0.6036706566810608,0.014925372786819935,0.6021825671195984,0.009950248524546623
33,0.60317462682724,0.009950248524546623,0.608134925365448,0.019900497049093246,0.5917658805847168,0.014925372786819935,0.6071428656578064,0.004975124262273312
34,0.6021825671195984,0.024875622242689133,0.605654776096344,0.009950248524546623,0.5932539701461792,0.024875622242689133,0.6076388955116272,0.0
35,0.6041666865348816,0.009950248524546623,0.60317462682724,0.0,0.5877976417541504,0.004975124262273312,0.6111111044883728,0.0
36,0.5997023582458496,0.014925372786819935,0.60317462682724,0.004975124262273312,0.591269850730896,0.014925372786819935,0.6016865372657776,0.0
37,0.5997023582458496,0.004975124262273312,0.6076388955116272,0.009950248524546623,0.5947420597076416,0.0,0.6036706566810608,0.009950248524546623
38,0.605654776096344,0.0,0.6101190447807312,0.014925372786819935,0.5897817611694336,0.004975124262273312,0.6041666865348816,0.004975124262273312
39,0.60317462682724,0.004975124262273312,0.6016865372657776,0.0,0.601190447807312,0.004975124262273312,0.6051587462425232,0.0
40,0.6071428656578064,0.019900497049093246,0.60317462682724,0.004975124262273312,0.6021825671195984,0.014925372786819935,0.6046627163887024,0.004975124262273312
41,0.6041666865348816,0.009950248524546623,0.6016865372657776,0.009950248524546623,0.6111111044883728,0.009950248524546623,0.5997023582458496,0.0
42,0.6071428656578064,0.0,0.6021825671195984,0.004975124262273312,0.6026785969734192,0.009950248524546623,0.6006944179534912,0.004975124262273312
43,0.6066468358039856,0.009950248524546623,0.596230149269104,0.004975124262273312,0.5957341194152832,0.019900497049093246,0.601190447807312,0.009950248524546623
44,0.6076388955116272,0.0,0.5977182388305664,0.009950248524546623,0.5927579402923584,0.03482586890459061,0.6016865372657776,0.0
45,0.6066468358039856,0.009950248524546623,0.6076388955116272,0.004975124262273312,0.6026785969734192,0.009950248524546623,0.6076388955116272,0.0
46,0.6046627163887024,0.009950248524546623,0.6061508059501648,0.009950248524546623,0.6026785969734192,0.014925372786819935,0.6041666865348816,0.0
47,0.6046627163887024,0.009950248524546623,0.6096230149269104,0.014925372786819935,0.5997023582458496,0.019900497049093246,0.6086309552192688,0.004975124262273312
48,0.6066468358039856,0.02985074557363987,0.6086309552192688,0.009950248524546623,0.596230149269104,0.009950248524546623,0.6076388955116272,0.0
49,0.6071428656578064,0.009950248524546623,0.6101190447807312,0.004975124262273312,0.59375,0.004975124262273312,0.6086309552192688,0.004975124262273312
50,0.601190447807312,0.009950248524546623,0.6140872836112976,0.019900497049093246,0.598710298538208,0.0,0.6066468358039856,0.004975124262273312
