,round,clients
65,66,"[704, 958, 273, 406, 599, 1323, 1146, 306, 1566, 1213, 680, 682, 912, 3258, 1615, 379, 1236, 202, 120, 751, 866, 1583, 366, 1109, 1193, 1232, 2504, 285, 787, 27505]"
66,67,"[951, 1223, 915, 1347, 578, 628, 2614, 2258, 436, 1005, 1538, 1114, 765, 238, 1208, 1371, 837, 1000, 2032, 478, 1378, 162, 2556, 975, 1341, 569, 2702, 1597, 1923, 26669]"
67,68,"[1871, 1599, 586, 635, 2092, 1387, 674, 1045, 1299, 407, 868, 961, 776, 2271, 574, 433, 1051, 1723, 704, 877, 570, 826, 879, 1456, 846, 1085, 1683, 1007, 1083, 21844]"
68,69,"[524, 979, 508, 976, 1014, 498, 578, 732, 771, 914, 21, 1463, 812, 1561, 549, 1051, 1206, 1143, 1667, 1383, 1524, 2148, 773, 473, 2006, 1313, 1916, 1695, 1049, 24122]"
69,70,"[1722, 390, 1349, 1852, 821, 1404, 599, 538, 661, 830, 786, 699, 353, 954, 981, 1043, 922, 964, 516, 547, 2488, 2127, 724, 1021, 1064, 2670, 661, 884, 2279, 19927]"
70,71,"[1042, 605, 679, 338, 789, 1377, 1181, 498, 345, 645, 1241, 729, 1355, 1628, 1207, 1071, 1691, 603, 1044, 194, 603, 909, 1081, 1859, 663, 1140, 429, 568, 740, 20877]"
71,72,"[1088, 984, 533, 1098, 1330, 692, 589, 470, 759, 427, 162, 747, 557, 2386, 1300, 954, 108, 1747, 1533, 445, 165, 748, 1445, 458, 1160, 558, 379, 260, 124, 30513]"
72,73,"[1538, 1136, 3094, 1319, 809, 1033, 530, 535, 856, 873, 2635, 2420, 1342, 863, 2025, 3086, 1934, 1319, 2084, 2115, 2683, 1395, 697, 1052, 1687, 2656, 2028, 513, 1623, 28792]"
73,74,"[892, 899, 632, 267, 251, 282, 580, 691, 1339, 1941, 958, 168, 680, 793, 468, 1911, 988, 1174, 678, 323, 332, 580, 485, 910, 329, 617, 981, 444, 2242, 25180]"
74,75,"[805, 480, 1615, 1219, 983, 10, 1542, 1770, 985, 1492, 866, 830, 2355, 268, 726, 705, 668, 1289, 556, 1029, 962, 2604, 1151, 1586, 673, 1012, 1009, 1404, 1495, 26543]"
75,76,"[856, 1037, 1312, 1037, 1653, 878, 422, 1322, 1123, 1329, 1578, 1476, 1353, 1007, 507, 870, 1182, 1503, 905, 725, 1115, 463, 1120, 822, 946, 1371, 971, 860, 621, 29473]"
76,77,"[1066, 2135, 193, 697, 1516, 786, 841, 1260, 473, 549, 1503, 2013, 1342, 604, 982, 1694, 2694, 1329, 1066, 667, 1059, 1002, 769, 195, 272, 1346, 1357, 720, 823, 28068]"
77,78,"[866, 523, 156, 326, 601, 1819, 42, 1375, 466, 433, 2373, 902, 443, 28, 476, 176, 328, 959, 549, 301, 696, 242, 226, 815, 1064, 650, 843, 275, 910, 27326]"
78,79,"[1031, 423, 1460, 156, 1017, 659, 862, 987, 629, 806, 2672, 1436, 509, 935, 228, 3238, 539, 725, 1324, 369, 887, 1364, 1173, 2446, 738, 677, 2433, 256, 734, 19897]"
79,80,"[2124, 2552, 1200, 1074, 1060, 1282, 427, 732, 435, 410, 1462, 748, 1806, 1422, 313, 750, 903, 1352, 1327, 407, 841, 915, 821, 758, 356, 1009, 2154, 276, 825, 24100]"
80,81,"[885, 1549, 501, 1051, 1359, 1425, 1303, 538, 2519, 1531, 345, 1113, 1139, 1358, 1030, 678, 1005, 1860, 1472, 2082, 1053, 1849, 683, 1172, 960, 801, 1589, 1192, 1108, 24012]"
81,82,"[483, 2424, 2769, 642, 979, 1118, 683, 306, 1147, 1276, 776, 1196, 803, 1004, 690, 1000, 657, 1469, 1022, 1103, 1636, 705, 490, 2089, 1557, 1419, 669, 2490, 844, 25977]"
82,83,"[606, 1282, 900, 53, 1469, 678, 119, 107, 474, 986, 581, 1764, 552, 2077, 1701, 378, 321, 407, 404, 1410, 800, 529, 182, 345, 563, 2880, 621, 671, 1214, 27445]"
83,84,"[1524, 943, 1205, 1557, 1055, 1827, 1226, 1431, 984, 1180, 1069, 355, 410, 1109, 880, 647, 1012, 997, 2205, 186, 846, 2200, 582, 1435, 1701, 1229, 1352, 682, 1113, 31145]"
84,85,"[1342, 987, 1195, 564, 1319, 1358, 516, 2336, 1682, 1447, 890, 712, 1128, 972, 1273, 349, 726, 1284, 770, 362, 1130, 1055, 838, 1400, 677, 961, 1056, 812, 1460, 33525]"
85,86,"[1932, 222, 1200, 450, 1035, 285, 362, 1163, 82, 547, 1628, 77, 760, 1169, 1259, 922, 1215, 1953, 243, 611, 97, 1035, 697, 300, 304, 149, 1, 1672, 955, 30119]"
86,87,"[673, 933, 527, 845, 583, 2527, 1064, 538, 780, 736, 1299, 906, 1649, 406, 521, 983, 1548, 1926, 864, 109, 354, 612, 3855, 495, 613, 964, 837, 601, 1473, 23765]"
87,88,"[403, 1536, 944, 1063, 568, 358, 1062, 524, 1054, 1148, 30, 674, 117, 681, 132, 897, 1665, 1809, 429, 312, 573, 1004, 781, 1807, 1682, 660, 1069, 389, 1797, 29078]"
88,89,"[785, 486, 509, 1028, 463, 80, 770, 748, 667, 1056, 676, 853, 614, 799, 163, 334, 301, 466, 581, 1014, 345, 575, 1091, 224, 217, 2059, 584, 230, 457, 20754]"
89,90,"[848, 1352, 340, 1581, 1122, 1144, 693, 1046, 1478, 430, 538, 1818, 918, 977, 1005, 659, 1076, 1397, 861, 601, 786, 837, 1806, 2098, 1292, 662, 758, 408, 2515, 25199]"
90,91,"[635, 908, 1318, 908, 143, 23, 211, 733, 694, 665, 87, 262, 658, 545, 179, 654, 929, 793, 643, 1141, 675, 422, 860, 624, 270, 120, 273, 103, 274, 32512]"
91,92,"[994, 1712, 1258, 288, 2059, 1048, 600, 909, 994, 1161, 1485, 1434, 480, 569, 1132, 734, 844, 1836, 242, 1851, 910, 675, 1160, 1253, 1250, 754, 879, 135, 762, 24454]"
92,93,"[631, 607, 674, 1259, 2597, 380, 1271, 885, 1794, 1228, 814, 1278, 491, 1917, 1282, 885, 559, 1112, 631, 921, 473, 452, 2400, 411, 1467, 107, 2201, 1170, 1743, 26414]"
93,94,"[807, 1252, 830, 43, 703, 658, 1086, 1015, 928, 427, 543, 1076, 1743, 2908, 685, 676, 640, 1164, 1015, 622, 985, 603, 278, 3017, 1053, 2241, 930, 2050, 1128, 24249]"
94,95,"[870, 431, 1219, 1271, 235, 222, 2269, 186, 1380, 790, 271, 827, 932, 292, 165, 345, 884, 514, 1089, 625, 1031, 709, 697, 629, 778, 373, 326, 74, 673, 30295]"
